id_cliente,churn,genero,idoso,parceiro,dependentes,tempo_contrato,servico_telefonico,multiplas_linhas,servico_internet,seguranca_online,backup_online,protecao_dispositivos,suporte_tecnico,streaming_tv,streaming_filmes,contrato,fatura_online,metodo_pagamento,cobrança_mensal,cobrança_total,contas_diarias
2603-HVKCG,não,masculino,0,não,não,31,sim,não,fibra ótica,não,sim,sim,não,sim,sim,mensal,sim,cheque eletrônico,101.4,3143.65,3.38
2604-IJPDU,não,feminino,0,sim,não,20,sim,não,fibra ótica,sim,sim,não,sim,sim,não,mensal,sim,cheque eletrônico,96.55,1901.65,3.22
2604-XVDAM,não,feminino,0,não,não,12,sim,não,dsl,não,não,não,não,não,não,mensal,não,transferência bancária (automática),43.8,540.95,1.46
2606-PKWJB,não,masculino,0,não,sim,40,não,sem serviço telefônico,dsl,sim,sim,não,sim,não,não,um ano,não,cheque postal,40.25,1564.05,1.34
2606-RMDHZ,sim,masculino,0,não,não,6,não,sem serviço telefônico,dsl,não,sim,não,não,não,não,mensal,sim,cartão de crédito (automático),30.5,208.7,1.02
2607-DHDAK,não,masculino,0,sim,sim,72,sim,não,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,dois anos,sim,cartão de crédito (automático),19.8,1414.65,0.66
2607-FBDFF,não,masculino,0,não,não,1,sim,não,dsl,não,não,não,sim,não,não,mensal,não,cartão de crédito (automático),49.0,49.0,1.63
2608-BHKFN,sim,feminino,0,não,não,4,sim,não,fibra ótica,não,não,não,não,não,não,mensal,sim,cartão de crédito (automático),70.05,266.9,2.34
2609-IAICY,sim,feminino,0,não,não,1,sim,sim,fibra ótica,não,não,não,não,não,não,mensal,sim,cheque eletrônico,77.15,77.15,2.57
2612-PHGOX,não,masculino,0,sim,não,64,sim,sim,dsl,não,sim,sim,sim,sim,não,dois anos,sim,transferência bancária (automática),76.1,4818.8,2.54
2612-RANWT,sim,feminino,0,não,não,12,sim,sim,fibra ótica,não,não,sim,não,sim,sim,mensal,sim,transferência bancária (automática),100.15,1164.3,3.34
2612-RRIDN,sim,masculino,0,não,não,4,sim,não,fibra ótica,não,não,não,não,sim,não,mensal,sim,cheque eletrônico,81.0,340.85,2.7
2615-YVMYX,não,masculino,1,sim,não,71,sim,sim,fibra ótica,sim,sim,sim,não,sim,sim,mensal,sim,cheque eletrônico,107.5,7713.55,3.58
2616-FLVQC,não,masculino,0,não,não,64,sim,não,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,dois anos,não,cheque postal,19.55,1240.15,0.65
2616-UUTFK,não,masculino,0,sim,não,33,sim,sim,dsl,sim,sim,sim,não,sim,não,mensal,sim,transferência bancária (automática),72.75,2447.45,2.42
2619-WFQWU,sim,feminino,0,não,não,1,sim,não,fibra ótica,não,não,não,não,não,não,mensal,sim,cheque postal,70.15,70.15,2.34
2621-UDNLU,não,feminino,0,sim,não,3,sim,não,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,mensal,não,cheque postal,20.85,72.0,0.7
2623-DRYAM,não,feminino,0,sim,não,70,sim,sim,fibra ótica,não,não,sim,não,sim,sim,um ano,sim,cheque eletrônico,101.75,7069.3,3.39
2625-TRCZQ,não,feminino,0,sim,não,51,não,sem serviço telefônico,dsl,não,sim,não,não,sim,sim,mensal,sim,cheque eletrônico,49.65,2553.35,1.66
2626-URJFX,sim,masculino,0,sim,sim,4,sim,sim,dsl,não,não,não,não,não,não,mensal,sim,cheque eletrônico,50.9,225.6,1.7
2626-VEEWG,não,masculino,0,sim,sim,67,sim,não,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,dois anos,sim,cartão de crédito (automático),19.4,1284.2,0.65
2632-IVXVF,não,feminino,0,sim,sim,68,sim,sim,fibra ótica,sim,não,sim,sim,sim,sim,dois anos,não,cartão de crédito (automático),111.75,7511.3,3.72
2632-TACXW,não,feminino,0,sim,não,62,sim,sim,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,dois anos,não,transferência bancária (automática),23.65,1416.75,0.79
2632-UCGVD,sim,masculino,1,sim,não,66,sim,sim,fibra ótica,não,não,não,sim,sim,sim,mensal,sim,cartão de crédito (automático),100.05,6871.9,3.34
2634-HCZGT,sim,masculino,1,sim,não,53,sim,sim,dsl,sim,não,não,sim,não,não,um ano,sim,cheque eletrônico,60.05,3229.65,2.0
2636-ALXXZ,sim,feminino,1,não,não,1,sim,não,fibra ótica,não,não,não,não,não,não,mensal,sim,cheque eletrônico,69.6,69.6,2.32
2636-OHFMN,sim,masculino,0,sim,não,4,não,sem serviço telefônico,dsl,não,sim,não,não,sim,sim,mensal,sim,cheque eletrônico,48.55,201.0,1.62
2636-SJDOU,não,masculino,0,não,não,64,sim,sim,fibra ótica,sim,sim,não,não,não,não,um ano,sim,cartão de crédito (automático),84.3,5289.05,2.81
2637-FKFSY,não,feminino,0,sim,não,3,sim,não,dsl,não,não,não,não,não,não,mensal,sim,cheque postal,46.1,130.15,1.54
2639-UGMAZ,não,masculino,1,não,não,71,não,sem serviço telefônico,dsl,sim,sim,não,não,sim,sim,um ano,sim,cheque eletrônico,56.45,3985.35,1.88
2640-LYMOV,não,masculino,0,não,não,2,sim,não,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,mensal,sim,cheque postal,19.65,38.8,0.65
2640-PMGFL,sim,masculino,0,não,sim,27,sim,sim,fibra ótica,não,não,não,sim,não,não,mensal,sim,cheque eletrônico,79.5,2180.55,2.65
2642-DTVCO,sim,masculino,1,não,não,9,sim,sim,fibra ótica,não,não,não,não,não,sim,mensal,sim,cheque eletrônico,85.05,746.5,2.84
2642-MAWLJ,não,feminino,0,sim,sim,36,sim,não,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,dois anos,não,transferência bancária (automática),20.25,717.95,0.68
2645-QTLMB,sim,masculino,0,não,não,7,sim,não,fibra ótica,não,sim,não,não,sim,sim,mensal,sim,cheque eletrônico,94.25,669.0,3.14
2649-HWLYB,não,masculino,0,sim,não,65,sim,sim,dsl,sim,não,sim,sim,não,sim,dois anos,não,transferência bancária (automática),76.15,4929.55,2.54
2650-GYRYL,não,masculino,0,sim,sim,33,sim,não,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,um ano,sim,transferência bancária (automática),19.45,600.25,0.65
2651-ZCBXV,não,masculino,0,não,não,54,sim,sim,fibra ótica,sim,sim,não,sim,sim,sim,dois anos,sim,cartão de crédito (automático),108.0,5760.65,3.6
2654-VBVPB,não,feminino,0,não,não,1,sim,não,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,mensal,não,transferência bancária (automática),19.9,19.9,0.66
2656-FMOKZ,sim,feminino,1,não,não,15,sim,sim,fibra ótica,não,não,não,não,não,não,mensal,sim,cheque postal,74.45,1145.7,2.48
2656-TABEH,sim,masculino,0,sim,não,4,sim,sim,fibra ótica,não,sim,não,não,sim,sim,mensal,sim,cheque eletrônico,100.2,420.2,3.34
2657-ALMWY,sim,feminino,1,sim,não,26,sim,não,fibra ótica,não,sim,não,não,não,sim,mensal,não,cheque eletrônico,84.95,2169.75,2.83
2657-VPXTA,não,feminino,0,sim,sim,10,sim,não,fibra ótica,não,não,não,não,sim,sim,mensal,sim,cheque eletrônico,88.85,929.45,2.96
2659-VXMWZ,sim,masculino,0,sim,sim,67,sim,sim,fibra ótica,sim,sim,sim,não,sim,sim,um ano,sim,cheque eletrônico,111.3,7482.1,3.71
2660-EMUBI,sim,masculino,1,não,não,10,sim,sim,fibra ótica,não,não,não,não,sim,sim,mensal,sim,cheque eletrônico,95.35,898.35,3.18
2661-GKBTK,não,masculino,0,sim,sim,60,sim,não,dsl,não,sim,não,sim,sim,sim,dois anos,não,transferência bancária (automática),76.95,4543.95,2.56
2662-NNTDK,não,masculino,0,não,não,65,sim,sim,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,um ano,não,cartão de crédito (automático),24.8,1600.95,0.83
2664-XJZNO,não,masculino,0,sim,sim,72,sim,não,fibra ótica,sim,não,sim,sim,sim,sim,dois anos,sim,cartão de crédito (automático),104.9,7559.55,3.5
2665-NPTGL,não,feminino,1,sim,não,26,sim,sim,fibra ótica,não,não,sim,não,sim,sim,mensal,sim,transferência bancária (automática),98.1,2510.7,3.27
2667-WYLWJ,sim,feminino,0,sim,sim,8,sim,não,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,um ano,sim,cheque postal,19.75,145.0,0.66
2668-TZSPS,não,masculino,0,não,não,1,sim,não,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,mensal,não,cheque postal,20.45,20.45,0.68
2669-OIDSD,não,feminino,0,sim,não,48,sim,não,fibra ótica,não,não,sim,sim,sim,sim,mensal,sim,cartão de crédito (automático),100.05,4834.0,3.34
2669-QVCRG,não,feminino,0,não,não,41,sim,sim,fibra ótica,sim,não,não,não,não,não,mensal,sim,cartão de crédito (automático),81.3,3190.65,2.71
2672-DZUOY,sim,masculino,0,não,não,1,não,sem serviço telefônico,dsl,não,não,não,não,não,não,mensal,sim,cheque eletrônico,25.15,25.15,0.84
2672-HUYVI,sim,feminino,0,não,não,6,sim,não,fibra ótica,não,não,não,não,sim,sim,mensal,sim,cheque eletrônico,91.1,455.3,3.04
2672-OJQZP,não,feminino,0,não,não,1,sim,não,dsl,não,não,não,não,não,não,mensal,não,cheque postal,44.75,44.75,1.49
2672-TGEFF,não,feminino,0,sim,sim,37,sim,sim,fibra ótica,não,sim,não,não,sim,não,mensal,sim,cheque eletrônico,88.8,3340.55,2.96
2673-CXQEU,não,feminino,1,não,não,56,sim,sim,fibra ótica,sim,sim,sim,não,sim,sim,um ano,não,cheque eletrônico,110.5,6139.5,3.68
2673-ZALNP,não,feminino,0,não,não,7,sim,não,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,um ano,não,cheque postal,19.9,173.15,0.66
2674-MIAHT,não,feminino,0,não,não,4,sim,sim,fibra ótica,não,sim,não,não,não,não,mensal,sim,cheque postal,80.3,324.2,2.68
2674-MLXMN,não,feminino,1,não,não,71,sim,sim,fibra ótica,não,sim,não,não,sim,sim,mensal,sim,cartão de crédito (automático),99.65,6951.15,3.32
2675-DHUTR,não,masculino,1,sim,não,58,sim,sim,fibra ótica,não,sim,não,não,sim,sim,mensal,sim,cheque eletrônico,98.9,5780.7,3.3
2675-IJRGJ,não,masculino,0,não,não,53,sim,não,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,dois anos,não,transferência bancária (automática),19.65,978.0,0.65
2675-OTVVJ,não,masculino,1,sim,não,31,sim,sim,fibra ótica,sim,não,não,não,sim,não,mensal,não,cheque eletrônico,89.45,2807.65,2.98
2676-ISHSF,não,masculino,0,não,não,1,sim,não,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,mensal,não,cheque postal,20.3,20.3,0.68
2676-OXPPQ,não,masculino,0,não,não,6,sim,não,dsl,sim,sim,não,não,não,não,mensal,sim,transferência bancária (automática),55.7,335.65,1.86
2676-SSLTO,não,masculino,0,não,não,49,sim,sim,dsl,não,não,não,sim,sim,não,dois anos,sim,transferência bancária (automática),66.15,3199.0,2.2
2680-XKKNJ,não,feminino,0,não,não,8,sim,não,dsl,sim,sim,não,sim,não,não,um ano,não,transferência bancária (automática),58.2,469.25,1.94
2682-KEVRP,não,feminino,1,não,não,22,sim,não,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,um ano,sim,cheque postal,20.05,417.0,0.67
2683-BPJSO,sim,masculino,0,sim,não,29,sim,sim,fibra ótica,sim,sim,não,não,não,não,mensal,sim,cheque eletrônico,84.45,2467.1,2.82
2683-JXWQQ,não,masculino,0,sim,sim,61,não,sem serviço telefônico,dsl,sim,não,sim,não,não,não,mensal,não,transferência bancária (automática),33.6,2117.2,1.12
2684-EIWEO,sim,feminino,1,não,não,30,sim,sim,fibra ótica,sim,sim,sim,não,não,não,mensal,não,cartão de crédito (automático),91.7,2758.15,3.06
2685-SREOM,sim,feminino,0,sim,sim,25,sim,sim,fibra ótica,não,não,sim,não,não,sim,mensal,sim,cheque eletrônico,89.1,2368.4,2.97
2688-BHGOG,não,masculino,1,não,não,9,sim,não,fibra ótica,não,não,não,não,não,sim,mensal,sim,cheque eletrônico,79.55,718.55,2.65
2690-DVRVK,não,masculino,0,sim,sim,5,sim,não,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,um ano,não,cheque eletrônico,20.55,99.45,0.68
2691-NZETQ,sim,masculino,0,não,não,9,sim,sim,fibra ótica,não,não,não,não,sim,não,mensal,sim,cheque eletrônico,85.35,758.6,2.84
2692-AQCPF,não,feminino,0,sim,não,65,sim,sim,fibra ótica,não,sim,sim,sim,sim,sim,um ano,sim,cartão de crédito (automático),108.05,7118.9,3.6
2692-BUCFV,não,masculino,1,não,não,29,sim,não,fibra ótica,não,sim,sim,não,sim,sim,mensal,sim,transferência bancária (automática),101.45,2948.6,3.38
2692-PFYTJ,não,feminino,0,não,não,1,sim,sim,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,mensal,sim,cheque postal,25.75,25.75,0.86
2694-CIUMO,não,feminino,0,não,não,12,sim,sim,fibra ótica,não,não,não,sim,não,não,mensal,sim,cartão de crédito (automático),79.55,958.25,2.65
2696-ECXKC,não,feminino,0,sim,sim,55,sim,sim,fibra ótica,sim,não,não,não,sim,sim,um ano,não,cheque postal,100.9,5448.6,3.36
2696-NARTR,sim,masculino,0,não,não,11,sim,não,fibra ótica,não,não,não,sim,não,não,mensal,sim,cheque eletrônico,73.85,926.25,2.46
2696-RZVZW,não,masculino,0,sim,não,68,sim,sim,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,dois anos,não,cartão de crédito (automático),25.05,1629.2,0.84
2697-NQBPF,não,masculino,0,não,não,34,sim,sim,fibra ótica,não,sim,não,sim,sim,sim,mensal,sim,cheque eletrônico,105.35,3540.65,3.51
2700-LUEVA,não,masculino,0,não,não,1,sim,não,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,mensal,não,cartão de crédito (automático),20.75,20.75,0.69
2703-AMTUL,não,masculino,0,sim,sim,36,sim,não,dsl,sim,sim,não,não,não,não,um ano,não,cheque postal,53.65,1939.35,1.79
2706-QZIHY,não,feminino,0,sim,não,15,sim,sim,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,dois anos,não,cheque postal,25.2,387.9,0.84
2709-UQGNP,não,masculino,0,não,não,10,sim,não,dsl,sim,não,não,não,não,não,mensal,sim,cheque postal,51.65,524.5,1.72
2710-WYVXG,não,feminino,0,não,não,3,sim,não,dsl,sim,sim,não,sim,não,sim,dois anos,não,cheque postal,71.1,213.35,2.37
2712-SYWAY,não,feminino,0,não,não,1,sim,sim,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,mensal,sim,cheque eletrônico,25.7,25.7,0.86
2716-GFZOR,não,masculino,0,sim,não,43,sim,não,fibra ótica,sim,sim,sim,não,não,não,mensal,sim,cartão de crédito (automático),86.1,3551.65,2.87
2717-HVIZY,não,feminino,0,não,sim,8,sim,não,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,mensal,não,cheque postal,20.05,163.6,0.67
2718-GAXQD,sim,feminino,1,sim,sim,4,sim,não,dsl,não,não,não,não,não,não,mensal,não,cheque eletrônico,46.0,181.6,1.53
2718-YSKCS,não,masculino,0,sim,sim,71,sim,não,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,dois anos,sim,transferência bancária (automática),19.6,1387.45,0.65
2719-BDAQO,sim,masculino,0,não,não,17,sim,não,fibra ótica,sim,não,não,não,sim,sim,mensal,não,cheque eletrônico,93.85,1625.65,3.13
2720-FVBQP,não,feminino,0,sim,sim,6,sim,sim,dsl,não,não,não,não,não,não,mensal,sim,cartão de crédito (automático),48.95,273.25,1.63
2720-WGKHP,sim,masculino,1,não,não,2,sim,sim,fibra ótica,não,não,não,não,sim,sim,mensal,sim,cheque eletrônico,94.0,181.7,3.13
2722-JMONI,sim,feminino,1,sim,não,1,sim,não,dsl,sim,não,não,não,não,não,mensal,sim,cheque eletrônico,49.55,49.55,1.65
2722-VOJQL,sim,masculino,0,não,não,64,sim,sim,fibra ótica,não,sim,não,sim,sim,sim,um ano,sim,cartão de crédito (automático),105.65,6903.1,3.52
2724-FJDYW,não,masculino,0,não,sim,39,não,sem serviço telefônico,dsl,não,não,sim,sim,sim,sim,um ano,não,transferência bancária (automática),54.85,2191.7,1.83
2725-IWWBA,não,masculino,0,sim,sim,46,sim,não,dsl,sim,não,sim,sim,não,não,um ano,não,cheque postal,56.9,2560.1,1.9
2725-KXXWT,sim,masculino,0,sim,não,1,sim,não,fibra ótica,não,não,não,não,sim,sim,mensal,sim,cheque eletrônico,90.75,90.75,3.02
2725-TTRIQ,não,feminino,0,sim,sim,72,sim,sim,dsl,sim,não,sim,sim,sim,sim,dois anos,sim,transferência bancária (automática),84.2,5986.55,2.81
2729-VNVAP,não,feminino,0,sim,sim,33,sim,não,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,dois anos,não,cartão de crédito (automático),19.8,641.35,0.66
2731-GJRDG,não,feminino,0,não,não,32,sim,sim,fibra ótica,sim,não,sim,sim,sim,sim,um ano,sim,transferência bancária (automática),109.55,3608.0,3.65
2732-ISEZX,não,feminino,0,não,não,5,sim,não,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,mensal,sim,cheque postal,20.5,104.3,0.68
2737-WFVYW,sim,feminino,0,não,não,2,não,sem serviço telefônico,dsl,não,não,não,não,sim,sim,mensal,sim,cheque eletrônico,45.25,85.5,1.51
2737-YNGYW,sim,feminino,0,não,não,2,sim,não,fibra ótica,não,não,não,não,não,sim,mensal,não,cheque eletrônico,80.55,184.1,2.68
2739-CACDQ,não,feminino,1,não,não,17,sim,sim,fibra ótica,não,não,sim,não,não,não,mensal,sim,cartão de crédito (automático),82.65,1470.05,2.76
2739-CCZMB,não,masculino,0,não,sim,5,sim,não,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,mensal,não,cartão de crédito (automático),20.35,122.0,0.68
2740-JFBOK,não,masculino,0,não,não,10,sim,sim,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,mensal,sim,cheque eletrônico,24.0,226.55,0.8
2740-TVLFN,não,masculino,0,não,não,1,sim,sim,dsl,não,não,não,não,não,não,mensal,sim,cheque eletrônico,50.15,50.15,1.67
2746-DIJLO,não,feminino,0,não,não,41,sim,sim,dsl,não,sim,não,não,não,não,um ano,sim,cartão de crédito (automático),56.3,2364.0,1.88
2748-MYRVK,sim,feminino,0,não,não,63,sim,sim,fibra ótica,não,sim,não,não,sim,sim,um ano,não,transferência bancária (automática),99.9,6137.0,3.33
2749-CTKAJ,não,masculino,0,sim,sim,22,sim,não,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,um ano,não,cheque postal,20.15,419.9,0.67
2750-BJLSB,não,feminino,0,não,não,47,sim,não,fibra ótica,sim,não,sim,sim,sim,sim,um ano,sim,cheque eletrônico,103.7,4730.6,3.46
2753-JMMCV,não,masculino,0,não,não,65,sim,sim,dsl,não,sim,sim,sim,não,sim,dois anos,sim,cartão de crédito (automático),74.2,4805.65,2.47
2754-SDJRD,não,feminino,1,não,não,8,sim,sim,fibra ótica,não,não,não,sim,sim,sim,mensal,sim,cartão de crédito (automático),100.15,908.55,3.34
2754-VDLTR,sim,masculino,0,não,sim,10,sim,sim,fibra ótica,não,não,não,não,sim,sim,mensal,não,cheque eletrônico,95.2,930.4,3.17
2754-XBHTB,sim,feminino,0,não,não,9,sim,não,fibra ótica,não,não,não,não,sim,não,mensal,sim,transferência bancária (automática),77.65,714.15,2.59
2758-RNWXS,não,masculino,0,não,não,35,sim,não,fibra ótica,sim,não,não,sim,não,sim,um ano,sim,cheque eletrônico,89.2,3251.3,2.97
2761-OCIAX,sim,masculino,1,não,não,2,sim,não,fibra ótica,não,sim,não,não,não,não,mensal,sim,cheque eletrônico,74.7,165.4,2.49
2761-XECQW,não,masculino,1,sim,não,8,não,sem serviço telefônico,dsl,não,sim,sim,não,não,sim,mensal,sim,cheque postal,43.35,371.4,1.44
2770-NSVDG,não,masculino,0,sim,não,24,não,sem serviço telefônico,dsl,não,não,sim,não,não,não,mensal,não,cheque eletrônico,29.1,688.0,0.97
2773-MADBQ,não,feminino,0,não,não,36,não,sem serviço telefônico,dsl,sim,sim,sim,sim,não,sim,dois anos,sim,cheque postal,53.1,1901.25,1.77
2773-OVBPK,não,masculino,0,sim,não,67,sim,sim,fibra ótica,não,sim,sim,sim,sim,sim,dois anos,sim,transferência bancária (automática),111.3,7567.2,3.71
2774-LVQUS,sim,feminino,1,sim,não,15,sim,sim,fibra ótica,não,não,sim,sim,não,não,mensal,sim,cheque eletrônico,83.05,1258.3,2.77
2777-PHDEI,sim,feminino,0,não,não,1,sim,não,fibra ótica,não,não,não,não,sim,não,mensal,não,cheque eletrônico,78.05,78.05,2.6
2778-OCLGR,sim,masculino,1,sim,não,24,não,sem serviço telefônico,dsl,sim,não,não,não,não,sim,mensal,não,transferência bancária (automática),39.1,971.3,1.3
2782-JEEBU,não,masculino,0,não,não,21,não,sem serviço telefônico,dsl,não,sim,não,sim,não,não,mensal,sim,cheque postal,36.0,780.15,1.2
2782-LFZVW,não,feminino,0,não,não,11,sim,sim,dsl,não,não,não,não,não,sim,mensal,sim,cheque postal,58.95,601.6,1.96
2786-GCDPI,não,feminino,1,não,não,50,sim,sim,fibra ótica,não,não,sim,sim,sim,sim,mensal,sim,cheque eletrônico,104.95,5222.35,3.5
2788-CJQAQ,não,masculino,0,não,não,13,sim,não,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,um ano,não,cheque postal,19.45,270.2,0.65
2789-CZANW,não,feminino,0,sim,sim,64,sim,sim,fibra ótica,sim,sim,não,sim,sim,sim,dois anos,não,transferência bancária (automática),110.3,6997.3,3.68
2789-HQBOU,não,masculino,0,não,não,3,sim,não,fibra ótica,não,não,não,não,não,sim,mensal,sim,cheque eletrônico,80.35,253.8,2.68
2790-XUYMV,não,masculino,0,não,sim,71,sim,sim,fibra ótica,sim,sim,não,não,não,não,um ano,sim,cartão de crédito (automático),85.45,6028.95,2.85
2791-SFVEW,não,feminino,0,não,não,9,sim,não,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,mensal,não,transferência bancária (automática),20.15,238.15,0.67
2792-LSHWX,não,feminino,0,não,não,1,sim,não,fibra ótica,sim,sim,não,sim,não,não,mensal,sim,cheque postal,83.4,83.4,2.78
2792-VPPET,não,masculino,0,não,não,3,sim,não,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,mensal,sim,cheque eletrônico,20.5,76.95,0.68
2794-XIMMO,sim,masculino,0,sim,não,53,não,sem serviço telefônico,dsl,não,sim,sim,sim,sim,sim,um ano,sim,cheque eletrônico,60.45,3184.25,2.02
2796-NNUFI,não,feminino,0,sim,sim,46,sim,não,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,dois anos,sim,cheque postal,19.95,927.1,0.66
2796-UUZZO,não,masculino,0,sim,sim,63,sim,não,fibra ótica,não,sim,sim,não,não,não,mensal,sim,cartão de crédito (automático),80.3,4896.35,2.68
2798-NYLMZ,não,masculino,0,sim,não,71,sim,sim,fibra ótica,sim,não,sim,sim,sim,sim,dois anos,sim,cartão de crédito (automático),108.55,7616.0,3.62
2799-ARNLO,não,feminino,1,sim,não,5,sim,não,fibra ótica,não,não,não,não,não,não,mensal,sim,cheque eletrônico,69.35,341.6,2.31
2799-TSLAG,não,feminino,0,sim,sim,65,sim,sim,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,dois anos,sim,transferência bancária (automática),25.3,1748.55,0.84
2800-QQUSO,não,masculino,0,não,não,42,sim,sim,fibra ótica,não,não,não,sim,sim,sim,mensal,sim,cheque eletrônico,100.3,4222.95,3.34
2800-VEQXM,não,feminino,0,não,não,3,sim,não,fibra ótica,não,não,sim,não,não,não,mensal,sim,cheque postal,74.75,238.1,2.49
2801-NISEI,não,masculino,0,não,não,24,sim,não,dsl,sim,não,não,sim,não,não,mensal,não,cheque eletrônico,54.95,1348.5,1.83
2804-ETQDK,não,masculino,0,não,sim,66,sim,não,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,dois anos,não,cheque postal,20.55,1357.1,0.68
2805-AUFQN,não,feminino,0,não,não,25,sim,não,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,dois anos,não,cartão de crédito (automático),19.8,475.2,0.66
2805-EDJPQ,não,feminino,0,sim,sim,56,sim,sim,fibra ótica,não,sim,sim,sim,não,sim,um ano,sim,cartão de crédito (automático),99.75,5608.4,3.32
2806-MLNTI,não,masculino,1,sim,não,52,sim,sim,fibra ótica,não,sim,sim,não,sim,sim,um ano,sim,transferência bancária (automática),105.1,5376.4,3.5
2808-CHTDM,não,feminino,0,sim,sim,23,sim,sim,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,dois anos,não,cheque postal,25.1,611.45,0.84
2809-ILCYT,não,feminino,0,sim,não,25,sim,sim,não,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,sem serviço de internet,um ano,sim,cheque postal,26.8,733.55,0.89
2809-ZMYOQ,não,feminino,0,não,não,32,sim,sim,fibra ótica,não,não,sim,não,sim,sim,mensal,sim,cheque eletrônico,101.35,3334.9,3.38
2810-FTLEM,sim,feminino,0,não,não,16,sim,não,dsl,sim,não,não,não,não,não,mensal,sim,cheque eletrônico,50.15,762.25,1.67
2811-POVEX,não,feminino,1,sim,sim,23,sim,não,fibra ótica,não,sim,sim,não,não,sim,mensal,sim,transferência bancária (automática),88.45,2130.55,2.95
2812-ENYMO,não,masculino,0,não,não,26,não,sem serviço telefônico,dsl,sim,não,não,sim,sim,sim,um ano,não,cartão de crédito (automático),54.55,1362.85,1.82
